case,ERQA,LPIPS,MDTVSFA,MS-SSIM,corrected_ERQA,corrected_LPIPS,corrected_MDTVSFA,corrected_MS-SSIM,SI,TI,bitrate,mean_colorfulness,std_colorfulness,subjective
uavs3e@dontstarve@comisr@1.155,0.6962931438190113,0.21000559999999996,0.5798667,0.8964183330535889,0.48482414212936237,0.5500676843754136,0.40375720753895544,0.624169939298881,0.020833333333333332,0.6655218855218855,0.442,8.910837357520355,0.9319137299034578,4.276685915141517
uavs3e@dontstarve@comisr@2.9,0.7069318757495024,0.18855871000000005,0.58657825,0.8998457789421082,0.49975267695070996,0.573633713200296,0.41467086254636054,0.6361296643928166,0.021934156378600824,0.6201099756496747,0.447,8.990753725719117,0.9392535457650543,4.655282588681144
uavs3e@dontstarve@only_compressed@0.619,0.8382727329788798,0.20080707999999994,0.56564724,0.9480010867118835,0.7027011748558804,0.6699416332257714,0.47416665777676037,0.7946834618249187,0.020020576131687243,0.6657128842380641,0.422,8.821133394937418,0.9588152955864273,4.957136031840999
uavs3e@dontstarve@only_compressed@1.053,0.8633123611315419,0.16455714,0.56034684,0.9605588912963867,0.7453082328825178,0.7212481480570881,0.48375435349299833,0.8292623644509797,0.020797325102880657,0.6497919108711784,0.426,8.975108336191663,1.018582301675825,5.727091881681251
uavs3e@dontstarve@only_compressed@1.795,0.8790722559133691,0.13300092,0.5643599,0.9689556956291199,0.77276803111662,0.7621548371304157,0.4961131304400434,0.8517820692367982,0.022505144032921812,0.6479714285714285,0.432,9.052819184007136,1.0483787375975588,5.771287830270351
vvenc@dontstarve@BasicVSR@0.573,0.6436257975667853,0.24735285999999995,0.6091183,0.9436212778091431,0.41425416729348047,0.48442311576886,0.3920442516500244,0.6073389975308988,0.02008230452674897,0.888824852003643,0.519,8.748225727223499,0.9177832836112446,0.918458861356541
vvenc@dontstarve@BasicVSR@0.891,0.6776892925100214,0.21522425,0.61080575,0.954481303691864,0.45926277718273334,0.5318341227965214,0.413936516578553,0.6468417594129822,0.02095679012345679,0.7728990421390325,0.508,8.826566778258723,0.918053089655813,1.989701992705277
vvenc@dontstarve@BasicVSR@1.47,0.714601825441172,0.19048981999999998,0.6133376,0.9624280333518982,0.5106557689238552,0.5784774523412117,0.4382921685717074,0.6877528294890236,0.021003086419753087,0.7608609449167862,0.498,8.884229560676784,0.9332607509819513,2.8531323479200212
vvenc@dontstarve@DBVSR@0.573,0.6438090480106611,0.25075055,0.6055563,0.9403682947158813,0.4144900903003937,0.4823735751270114,0.3898626250198583,0.6054176166004404,0.020843621399176955,0.8369978162673128,0.525,8.720100568227403,0.8826678693977686,1.3460535392973527
vvenc@dontstarve@DBVSR@0.891,0.6800711861385647,0.21929037999999998,0.597518,0.9510546922683716,0.46249681821591426,0.5309381173031881,0.40635477499914285,0.6467848926535991,0.02130658436213992,0.7706365872008804,0.512,8.80732505913356,0.9345003749146839,2.5468472558584017
vvenc@dontstarve@DBVSR@1.47,0.7107908122417654,0.19438588000000004,0.59962875,0.9587457776069641,0.5052235787673086,0.5726231147082351,0.42621060625601453,0.6814676899986171,0.022052469135802468,0.7411255255901862,0.492,8.890178918656195,0.9262703071141105,3.33114234033735
vvenc@dontstarve@LGFN@0.573,0.6597969967020174,0.2630761,0.58476764,0.9407117366790771,0.435332076857002,0.4862201760179379,0.3858279326405265,0.6206787786231941,0.021458333333333333,0.7970059993565359,0.498,8.748041657464546,0.8870021968252132,0.676267352484671
vvenc@dontstarve@LGFN@0.891,0.6981985985315122,0.22848030000000003,0.57952356,0.9516417980194092,0.4874812829913678,0.5386739732794528,0.40462253740799276,0.6644349696811599,0.021916152263374487,0.7110040037881786,0.5,8.816049196115902,0.914561461560553,1.4615586276531083
vvenc@dontstarve@LGFN@1.47,0.7310153199806878,0.20178558,0.58369845,0.9593320488929749,0.5343833980464674,0.5835069696494991,0.4266925091989815,0.7012864246892269,0.02161008230452675,0.707189898096825,0.489,8.862147201297008,0.9078907382069169,2.635830469008106
vvenc@dontstarve@RBPN@0.573,0.656687073114716,0.25312252,0.59767705,0.9435980319976807,0.43123791199597233,0.4904647863164948,0.39248679263233777,0.619648629829363,0.02088991769547325,0.8762620044324058,0.544,8.740611947712463,0.899917722169567,0.44827935754026466
vvenc@dontstarve@RBPN@0.891,0.6951021261511667,0.22029076,0.59435225,0.9547869563102722,0.4831669657798725,0.5419775505037103,0.4131355126577298,0.6636744433526713,0.01969135802469136,0.9097730175316383,0.542,8.811922994392976,0.9123697974481855,1.7345083346627448
vvenc@dontstarve@RBPN@1.47,0.7249463305753048,0.19409679000000002,0.59369165,0.9622786641120911,0.5255471822145991,0.5842365748883592,0.4303945831606982,0.6976003865389666,0.02022633744855967,0.8061086082449257,0.527,8.880724623057446,0.9322335921149736,2.487712718363713
vvenc@dontstarve@SOF-VSR-BI@0.573,0.6448428145460448,0.26186934,0.58584046,0.886336624622345,0.4158222554716647,0.4759782522971296,0.37777501110134953,0.5715478036567141,0.022021604938271606,0.8036974004738545,0.554,8.751517974361407,0.8933178957786245,1.59087150612457
vvenc@dontstarve@SOF-VSR-BI@0.891,0.6684425596371187,0.23375829999999997,0.5827529,0.8916749358177185,0.446815455534223,0.5121885632486972,0.3895368401119539,0.5960334764622593,0.023587962962962963,0.7632226749007908,0.55,8.805825820172512,0.9095516034166854,2.5806736656299165
vvenc@dontstarve@SOF-VSR-BI@1.47,0.6853961439136019,0.21407795,0.5823377,0.8949294090270996,0.46976787409163495,0.538667942486673,0.3991320140355159,0.6133811660220527,0.023878600823045267,0.7349617207437112,0.542,8.88151493328688,0.9409450531466211,3.297307990818789
vvenc@dontstarve@SwinIR@0.573,0.7162822864517713,0.21702415000000003,0.5775388,0.9400314092636108,0.5130603138845773,0.5608317320745191,0.41368081217861224,0.67332784716382,0.023778292181069957,0.6700558860645395,0.513,9.826840950605714,0.8047179618684379,4.4508919397358815
vvenc@dontstarve@SwinIR@0.891,0.7273323404153333,0.19209461,0.585536,0.9462796449661255,0.5290123334140463,0.5876157181428626,0.4258792692774326,0.6882597888606028,0.02278292181069959,0.7286821705426357,0.519,10.001749548548045,0.8566031477735804,4.723912738739247
vvenc@dontstarve@SwinIR@1.47,0.733351653113325,0.17841061999999996,0.58235747,0.9498761892318726,0.5378046471240465,0.6025139300033517,0.42707281332739355,0.6965932736261792,0.025493827160493827,0.6356242627429068,0.535,10.108178481258902,0.8243179659690358,4.565630839469988
vvenc@dontstarve@VRT@0.573,0.6448516226474237,0.24466591000000001,0.6081733,0.94393390417099,0.4158336152310153,0.48707841357741516,0.39218153935583844,0.6086973097765807,0.019984567901234568,0.8531960531960532,0.529,8.712081257031416,0.9274205322879894,1.3865695664451532
vvenc@dontstarve@VRT@0.891,0.6840697726417863,0.20897706000000002,0.6046601,0.9553676247596741,0.4679514538421851,0.5411148827202373,0.41362969713255976,0.6535381138586736,0.019912551440329218,0.8449532300409125,0.517,8.815065592801734,0.9239452579201912,2.948922280683484
vvenc@dontstarve@VRT@1.47,0.7184203895216749,0.18263979,0.60487795,0.9632266759872437,0.5161278560804751,0.587208240447718,0.43455665245207215,0.6920016837604237,0.020848765432098765,0.7852656842294148,0.498,8.892844473999036,0.9446000823468269,3.671498088753048
vvenc@dontstarve@ahq-11@0.573,0.6851100903044993,0.25659825,0.57002616,0.9382669925689697,0.46937583583703923,0.5093120400750228,0.3905306739535269,0.6428161840086578,0.019200102880658435,0.6846335530722318,0.431,9.057608631920589,0.8749822058904414,2.121175019642993
vvenc@dontstarve@ahq-11@0.891,0.7042808203384047,0.23738850999999997,0.56563413,0.9464536309242249,0.4960114738965362,0.5370926457766931,0.3983652690877998,0.6665691395995748,0.0182201646090535,0.704346542785278,0.431,9.079515188460109,0.8940079451594345,2.7280575594946033
vvenc@dontstarve@ahq-11@1.47,0.7170148923681428,0.22234285,0.56351656,0.9512143135070801,0.5141103558776994,0.5575917577065667,0.4040497656160661,0.6820348286183158,0.018472222222222223,0.702729044834308,0.428,9.113555392899482,0.9018609798864589,2.780731946120732
vvenc@dontstarve@comisr@0.573,0.6731784599406516,0.2475323,0.5811659,0.8916441798210144,0.4531692389280675,0.5065450474410842,0.3912283655320227,0.6002356557869559,0.01949074074074074,0.6595957596551422,0.43,8.825877024856302,0.8520424655055532,2.977815444748859
vvenc@dontstarve@comisr@0.891,0.6879289332953656,0.22089949,0.58280975,0.8962984681129456,0.4732462172648996,0.5359657827741754,0.4009316896316387,0.6165896490832089,0.02006687242798354,0.6782263187811375,0.434,8.918970269407176,0.8900260078541745,3.775215912765749
vvenc@dontstarve@comisr@1.47,0.6994908683529382,0.20422534000000003,0.5803434,0.8987191915512085,0.4892874749091475,0.5566371079366641,0.4059449088088965,0.6286458677036054,0.02095164609053498,0.6159882150748834,0.431,8.996353526217058,0.8825304007931538,3.749348291914904
vvenc@dontstarve@only_compressed@0.582,0.8092908242263745,0.18004673999999998,0.5742811,0.9469205141067505,0.6549516381770046,0.6635806496125028,0.46476042475662904,0.7663340833383144,0.022052469135802468,0.6206398243128687,0.418,8.626536960643476,1.021880592520819,3.6252608726605087
